RET16AE026,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,B+, EC232,O, AE204,B,HS200,B, EE216,B, AE232,A, AE202,O
RET16AE027,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B+, EC204,B+, EC232,O, AE204,A,HS200,B, EE216,B+, AE232,O, AE202,B+
RET16AE028,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,B+, EC232,B, AE204,B,HS200,C, EE216,B, AE232,A, AE202,A+
RET16AE029,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,A+, EC204,A, EC232,B+, AE204,B+,HS200,B+, EE216,B+, AE232,A+, AE202,A
RET16AE030,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,O, EC204,A+, EC232,B+, AE204,B,HS200,C, EE216,B+, AE232,A, AE202,A+
RET16AE031,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B+, EC204,B, EC232,C, AE204,B,HS200,B, EE216,C, AE232,A+, AE202,F
RET16AE032,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,F, EC204,F, EC232,C, AE204,F,HS200,F, EE216,F, AE232,C, AE202,C
RET16AE033,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,O, EC204,B+, EC232,B+, AE204,A,HS200,B+, EE216,B+, AE232,A, AE202,B
RET16AE034,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,B+, EC232,C, AE204,B,HS200,P, EE216,B, AE232,A+, AE202,B+
RET16AE035,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B+, EC204,B, EC232,B+, AE204,A+,HS200,A+, EE216,B+, AE232,B+, AE202,B+
RET16AE036,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,B, EC232,B+, AE204,B+,HS200,B, EE216,C, AE232,A, AE202,B
RET16AE037,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B+, EC204,B+, EC232,B+, AE204,B+,HS200,B+, EE216,A, AE232,B+, AE202,B+
RET16AE038,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,O, EC204,B+, EC232,A+, AE204,B,HS200,A, EE216,C, AE232,O, AE202,O
RET16AE039,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,B, EC232,B, AE204,B,HS200,F, EE216,B, AE232,B+, AE202,B
RET16AE040,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,B, EC232,B, AE204,B,HS200,F, EE216,B, AE232,A, AE202,F
RET16AE041,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,O, EC204,F, EC232,A+, AE204,Absent,HS200,B+, EE216,B+, AE232,O, AE202,B+
